datetime_hour,visits
"2026-06-11T00:00:00Z","271"
"2026-06-11T01:00:00Z","39"
"2026-06-11T02:00:00Z","27"
"2026-06-11T03:00:00Z","24"
"2026-06-11T04:00:00Z","28"
"2026-06-11T05:00:00Z","44"
"2026-06-11T06:00:00Z","65"
"2026-06-11T07:00:00Z","40"
"2026-06-11T08:00:00Z","75"
"2026-06-11T09:00:00Z","62"
"2026-06-11T10:00:00Z","33"
"2026-06-11T11:00:00Z","52"
"2026-06-11T12:00:00Z","40"
"2026-06-11T13:00:00Z","26"
"2026-06-11T14:00:00Z","38"
"2026-06-11T15:00:00Z","26"
"2026-06-11T16:00:00Z","66"
"2026-06-11T17:00:00Z","29"
"2026-06-11T18:00:00Z","23"
"2026-06-11T19:00:00Z","14"
"2026-06-11T20:00:00Z","24"
"2026-06-11T21:00:00Z","24"
"2026-06-11T22:00:00Z","20"
"2026-06-11T23:00:00Z","22"
"2026-06-12T00:00:00Z","25"
"2026-06-12T01:00:00Z","47"
"2026-06-12T02:00:00Z","59"
"2026-06-12T03:00:00Z","40"
"2026-06-12T04:00:00Z","13"
"2026-06-12T05:00:00Z","30"
"2026-06-12T06:00:00Z","30"
"2026-06-12T07:00:00Z","96"
"2026-06-12T08:00:00Z","54"
"2026-06-12T09:00:00Z","40"
"2026-06-12T10:00:00Z","44"
"2026-06-12T11:00:00Z","50"
"2026-06-12T12:00:00Z","46"
"2026-06-12T13:00:00Z","20"
"2026-06-12T14:00:00Z","23"
"2026-06-12T15:00:00Z","35"
"2026-06-12T16:00:00Z","4"
"2026-06-12T17:00:00Z","19"
"2026-06-12T18:00:00Z","18"
"2026-06-12T19:00:00Z","37"
"2026-06-12T20:00:00Z","8"
"2026-06-12T21:00:00Z","19"
"2026-06-12T22:00:00Z","38"
"2026-06-12T23:00:00Z","47"
"2026-06-13T00:00:00Z","23"
"2026-06-13T01:00:00Z","12"
"2026-06-13T02:00:00Z","79"
"2026-06-13T03:00:00Z","33"
"2026-06-13T04:00:00Z","47"
"2026-06-13T05:00:00Z","16"
"2026-06-13T06:00:00Z","59"
"2026-06-13T07:00:00Z","27"
"2026-06-13T08:00:00Z","43"
"2026-06-13T09:00:00Z","18"
"2026-06-13T10:00:00Z","34"
"2026-06-13T11:00:00Z","27"
"2026-06-13T12:00:00Z","37"
"2026-06-13T13:00:00Z","18"
"2026-06-13T14:00:00Z","25"
"2026-06-13T15:00:00Z","23"
"2026-06-13T16:00:00Z","9"
"2026-06-13T17:00:00Z","21"
"2026-06-13T18:00:00Z","46"
"2026-06-13T19:00:00Z","28"
"2026-06-13T20:00:00Z","3"
"2026-06-13T21:00:00Z","7"
"2026-06-13T22:00:00Z","28"
"2026-06-13T23:00:00Z","23"
"2026-06-14T00:00:00Z","22"
"2026-06-14T01:00:00Z","33"
"2026-06-14T02:00:00Z","29"
"2026-06-14T03:00:00Z","22"
"2026-06-14T04:00:00Z","20"
"2026-06-14T05:00:00Z","31"
"2026-06-14T06:00:00Z","50"
"2026-06-14T07:00:00Z","36"
"2026-06-14T08:00:00Z","28"
"2026-06-14T09:00:00Z","13"
"2026-06-14T10:00:00Z","17"
"2026-06-14T11:00:00Z","19"
"2026-06-14T12:00:00Z","30"
"2026-06-14T13:00:00Z","39"
"2026-06-14T14:00:00Z","17"
"2026-06-14T15:00:00Z","46"
"2026-06-14T16:00:00Z","22"
