browser,os,visits
"Unknown","Unknown","4288"
"Chrome","Windows","261"
"Chrome","MacOSX","224"
"Edge","Windows","61"
"Firefox","Windows","415"
"Firefox","MacOSX","133"
"Chrome","Linux","88"
"ChromeMobile","Android","47"
"Firefox","Linux","52"
"Edge","MacOSX","6"
"GoogleBot","Android","29"
"ChromeDerivative","Android","0"
"Safari","MacOSX","67"
"MobileSafari","iOS","31"
"BingBot","Unknown","91"
"AppleBot","MacOSX","21"
"Firefox","Android","4"
"MobileSafariWebview","iOS","9"
"ChromeMobile","iOS","6"
"Opera","MacOSX","0"
"Silk","Linux","0"
"Curl","Unknown","85"
"Opera","Windows","0"
"ChromeMobileWebview","Android","0"
"SamsungInternet","Android","61"
"Opera","Linux","0"
"GoogleBot","Unknown","27"
"ChromeHeadless","Linux","7"
"OperaMobile","Android","0"
"Wget","Unknown","0"
"Chrome","ChromeOS","5"
"IE","Windows","7"
"ChromeDerivative","Windows","0"
"YandexBot","Unknown","0"
"Edge","Linux","0"
"UCBrowserMobile","Android","0"
"UCBrowserMobile","iOS","0"
"Yandex","MacOSX","0"
"UCBrowser","Windows","0"
"TwitterBot","Unknown","4"
"Chrome","Android","0"
"Safari","Windows","0"
"ChromeDerivative","Linux","0"
